id,a1,a2,a3,a3_o7,a4_1,a4_2,a4_3,a5_1,a5_2,a6,a6_o6,a7,a7_o7,a8,a8_o7,a9,a9_o7,a10,a11_1,a11_2,b12,b13_1,b13_2,b13_3,b14,b15_1,b15_2,b15_3,b15_4,b15_5,b15_6,b15_7,b15_8,b15_9,b15_10,b15_11,b15_o11,b15_12,b15_o12,b16_1,b16_2,b16_3,b16_4,b16_5,b16_6,b16_7,b16_8,b16_o8,b17,b18,b19,b20_1,b20_2,b20_3,b20_4,b20_5,b20_6,b20_7,b20_8,b20_9,b20_10,b20_11,b20_12,b20_13,b20_14,b20_o14,b21,b22,b23,b24,b25_1,b25_2,b25_3,b25_4,b25_5,b25_6,b25_7,b25_8,b25_o8,b26,b26_o1,c27,c28_1,c28_2,c28_3,c28_4,c28_5,c28_6,c28_7,c28_8,c28_9,c28_o9,c29,c30,c31,c32,c33_1,c33_2,c33_3,c33_4,c34,c35_1,c35_2,c35_3,c35_4,z1,z2,z3,z4,z5,z6,z6_o5,z7,z8,z9
24052410011,0,2000,1,,中興大學,農資,植病,媒體,平面攝影,4,,2,,4,,3,,120,台中,南,10,0,0,0.5,0,0,0,0,0,0,0,2,0,0,1,0,,3,經民連網站,0,0,2,0,0,1,3,0,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,3,3,3,2,1,0,0,0,1,1,1,0,,1,社區組織,2,1,1,1,0,1,0,1,1,0,,3,4,4,3,4,4,4,4,2,1,3,5,4,張仁瑋,11,2024/05/24,21,33,2,,,2,
24052410012,0,1985,1,,世新,999,社心,教育,技佐,3,,5,,3,,3,,40,新北,中和,3,0,0,2,0,3,0,0,1,0,2,0,0,0,0,0,,0,,3,0,1,2,0,0,0,0,,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,反紅媒,3,3,3,3,1,0,0,0,0,0,1,0,,0,,2,1,1,1,0,1,0,1,0,0,,2,3,3,1,3,3,3,3,3,4,3,4,4,張仁瑋,12,2024/05/24,21,42,2,,,2,
24052410013,0,1997,1,,999,999,999,科技,999,3,,4,,5,,5,,25,台北,大安,4,2,2,3,0,0,0,0,0,0,2,0,0,0,0,0,,1,女友,0,0,0,0,0,2,0,1,女友,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,0,1,0,0,0,0,0,0,,0,,2,1,0,1,0,0,0,1,0,0,,3,3,3,1,2,3,3,3,3,4,3,4,4,張仁瑋,13,2024/05/24,10,44,2,A,,2,
24052410014,1,2006,6,,彰化藝術高中,999,999,996,996,996,,2,,3,,3,,90,彰化,和美,4,0,0,2,0,2,0,0,0,0,3,1,0,0,0,0,,0,,1,0,0,2,0,3,0,0,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,0,0,0,0,0,0,0,0,,0,,2,1,0,1,0,0,0,0,0,0,,2,4,3,1,3,3,3,3,2,4,3,4,4,張仁瑋,14,2024/05/24,22,44,2,A,,2,
24052410015,0,2000,1,,台大,工,化工,製造,產品行銷,3,,4,,4,,2,,40,新北,蘆洲,6,1,0,1,0,0,0,0,3,0,1,2,0,0,0,0,,0,,0,0,0,0,0,1,2,0,,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,反送中、同志遊行,3,3,3,3,1,0,0,0,1,0,1,0,,1,公司內志工團,2,0,0,1,0,1,1,1,0,0,,2,4,4,1,3,3,4,3,2,4,1,5,5,張仁瑋,15,2024/05/24,22,45,2,A,,2,
24052410016,1,2002,6,,中興,文,外文,996,996,996,,4,,2,,3,,180,台中,南,12,1,1,7,0,0,0,3,0,0,2,1,0,0,0,0,,0,,2,0,0,0,0,1,3,0,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,2,0,0,0,0,0,0,1,0,,0,,2,1,0,1,0,0,0,1,0,0,,2,4,4,1,2,2,2,2,2,4,4,4,4,張仁瑋,16,2024/05/24,22,58,2,A,,2,
24052410017,1,1990,1,,開南大,文,999,服務,行銷,1,,4,,5,,4,,50,台北,999,3,0,0,1.5,1,3,0,2,5,0,4,1,0,0,0,0,,0,,0,0,1,2,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,3,3,3,0,1,0,0,0,0,0,0,,0,,2,0,0,1,0,0,0,1,1,0,,3,4,3,1,2,2,3,3,3,4,4,5,4,張仁瑋,17,2024/05/24,23,1,2,A,,2,
24052410018,1,2005,6,,999,999,999,996,996,996,,2,,4,,4,,60,台北,內湖,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,推特,0,,1,0,0,0,0,0,0,0,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,3,0,0,0,0,0,1,0,0,,0,,1,1,1,1,0,0,0,1,0,0,,3,4,4,1,3,4,4,4,2,2,2,5,5,張仁瑋,18,2024/05/24,23,7,2,A,,2,
24052415001,1,2007,6,,文華高中,999,999,996,996,996,,999,,6,,5,,60,台中,西屯,4,0,0,4,0,1,0,3,0,0,0,1,0,0,0,0,,0,,0,0,0,0,0,1,2,0,,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,2,2,0,1,0,0,0,1,0,0,,0,,1,1,0,1,0,0,1,1,0,0,,2,4,4,1,3,3,4,4,1,5,4,5,5,劉于寧,1,2024/05/24,18,53,5,濟南教堂,,2,
24052415002,0,1995,1,,師大,999,999,公職,999,2,,5,,2,,2,,20,台北,999,5,2,0,7,0,0,0,0,1,3,2,0,0,0,0,0,,0,,0,0,1,3,2,0,0,0,,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,1,5,4,1,0,0,0,0,0,0,0,,0,,1,1,0,1,0,0,0,1,0,0,,2,3,3,1,3,3,4,3,1,2,4,4,4,劉于寧,2,2024/05/24,19,0,5,濟南教堂,,2,
